Occupancy,Best_CV_MAE,Test_MAE,Test_STD,Best_hidden_layers,Best_activation,Best_alpha,Best_learning_rate,Best_n_iter,Final_Loss
0.2,2.4882305625470407,2.9517658108050346,7.675934144244643,"(10, 5)",relu,1e-05,0.01,39,27.935643376431326
0.5,9.308581090821955,9.394437838562592,15.733388477988683,"(7, 5)",relu,0.001,0.001,200,127.02932367218865
0.7,14.374225755990812,14.467886999032041,21.587377320658813,"(7, 5)",relu,0.0001,0.001,182,235.6946284499624
0.9,18.37446338822735,18.78766532298801,25.600270182731403,"(15,)",relu,0.001,0.001,111,326.12485246437564
