Occupancy,Hidden_Layers,Test_MAE,Test_STD,Epochs,Final_Loss
0.2,"(20, 10)",2.364927333745812,5.79927556859967,183,16.192269005340513
0.5,"(20, 10)",9.351884715026344,15.044018996876353,104,111.33058790357963
0.7,"(20, 10)",14.410403247684776,20.768522178428345,87,218.83796808663695
0.9,"(20, 10)",17.868938977403136,24.870068003929273,130,308.4169123534217
