Occupancy,Fase_MAE,Fase_STD,Epochs,Final_Loss
0.2,1.2318371227757219,1.4086196647999232,85,0.009558330377307113
0.5,1.6068262210459225,2.244371113936378,92,0.029744509588018202
0.7,2.303726827324737,2.821956663188199,39,0.059490489962074525
0.9,2.8218225560984873,3.2342758439212793,54,0.07541393350871288
