Occupancy,Global_hidden_layers,Global_activation,Global_alpha,Global_learning_rate,Global_CV_MAE,Test_MAE,Test_STD,Epochs,Final_Loss
0.2,"(20, 10, 5)",relu,0.001,0.001,10.375171681393642,2.070090218557434,5.86809029762415,257,14.932074719613576
0.5,"(20, 10, 5)",relu,0.001,0.001,10.375171681393642,9.23287979267672,14.921466623220683,79,114.21771225056371
0.7,"(20, 10, 5)",relu,0.001,0.001,10.375171681393642,13.468414164297236,20.677477478214026,110,215.6486216939493
0.9,"(20, 10, 5)",relu,0.001,0.001,10.375171681393642,18.062660052198986,25.074039587337452,79,313.8801050889066
